NAME,LNG,LAT,ADDRESS,ADDRESS2,CITY,STATE,Zipcode,Hospitals_near,TYPE,STATUS,NAICS_DESC,ALT_NAME,OWNER,TTL_STAFF,BEDS,TRAUMA
BEDFORD COUNTY MEDICAL CENTER,-86.47247380899996,35.49344588800007,845 UNION STREET,NOT AVAILABLE,SHELBYVILLE,TN,37160.0,6.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,177.0,NOT AVAILABLE
TENNOVA HEALTHCARE - SHELBYVILLE,-86.44895595799993,35.56353279500007,2835 US HWY 231 N,NOT AVAILABLE,SHELBYVILLE,TN,37160.0,9.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,HERITAGE MEDICAL CENTER,PROPRIETARY,-999.0,60.0,NOT AVAILABLE
METHODIST MEDICAL CENTER OF OAK RIDGE,-84.24508552699997,36.02454510900004,990 OAK RIDGE TURNPIKE,NOT AVAILABLE,OAK RIDGE,TN,37830.0,18.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,301.0,NOT AVAILABLE
ERLANGER BLEDSOE,-85.19086882699997,35.62068597200005,71 WHEELERTOWN AVE,NOT AVAILABLE,PIKEVILLE,TN,37367.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999.0,25.0,NOT AVAILABLE
CAMDEN GENERAL HOSPITAL,-88.10794648599995,36.055216823000094,175 HOSPITAL STREET,NOT AVAILABLE,CAMDEN,TN,38320.0,4.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999.0,25.0,NOT AVAILABLE
BLOUNT MEMORIAL HOSPITAL,-83.95871504999995,35.75646223900002,907 E LAMAR ALEXANDER PARKWAY,NOT AVAILABLE,MARYVILLE,TN,37804.0,17.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,316.0,III
NORTHCREST MEDICAL CENTER,-86.88690192499996,36.47848008100002,100 NORTHCREST DRIVE,NOT AVAILABLE,SPRINGFIELD,TN,37172.0,19.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,109.0,NOT AVAILABLE
SWEETWATER HOSPITAL ASSOCIATION,-84.46428462599994,35.60069384400003,304 WRIGHT STREET,NOT AVAILABLE,SWEETWATER,TN,37874.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,59.0,NOT AVAILABLE
TENNOVA HEALTHCARE - CLARKSVILLE,-87.27047351799996,36.58197640200005,651 DUNLOP LANE,NOT AVAILABLE,CLARKSVILLE,TN,37043.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,GATEWAY MEDICAL CENTER,PROPRIETARY,-999.0,270.0,NOT AVAILABLE
SAINT THOMAS STONES RIVER HOSPITAL,-86.07184284099995,35.832710891000026,324 DOOLITTLE ROAD,NOT AVAILABLE,WOODBURY,TN,37190.0,7.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,60.0,NOT AVAILABLE
BAPTIST MEMORIAL HOSPITAL - HUNTINGTON,-88.41240858799993,36.02316734300006,631 R.B. WILSON DRIVE,NOT AVAILABLE,HUNTINGDON,TN,38344.0,4.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,70.0,NOT AVAILABLE
MCKENZIE REGIONAL HOSPITAL,-88.489360333,36.137427350000046,161 HOSPITAL DRIVE,NOT AVAILABLE,MC KENZIE,TN,38201.0,4.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,45.0,NOT AVAILABLE
JELLICO COMMUNITY HOSPITAL,-84.12854359399995,36.57370136400004,188 HOSPITAL LANE,NOT AVAILABLE,JELLICO,TN,37762.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,54.0,NOT AVAILABLE
CLAIBORNE COUNTY HOSPITAL,-83.57227571799997,36.452833885000075,1850 OLD KNOXVILLE ROAD,NOT AVAILABLE,TAZEWELL,TN,37879.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,85.0,NOT AVAILABLE
CUMBERLAND RIVER HOSPITAL,-85.50049892999995,36.544126154000026,100 OLD JEFFERSON STREET,NOT AVAILABLE,CELINA,TN,38551.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,34.0,NOT AVAILABLE
TRISTAR ASHLAND CITY MEDICAL CENTER,-87.06559472799995,36.27711958900005,313 NORTH MAIN STREET,NOT AVAILABLE,ASHLAND CITY,TN,37015.0,18.0,CRITICAL ACCESS,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,CENTENNIAL MEDICAL CENTER AT ASHLAND CITY,PROPRIETARY,-999.0,12.0,NOT AVAILABLE
TENNOVA HEALTHCARE - NEWPORT MEDICAL CENTER,-83.18219867299997,35.964203916000024,435 SECOND STREET,NOT AVAILABLE,NEWPORT,TN,37821.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,74.0,NOT AVAILABLE
DELTA MEDICAL CENTER,-89.93115119299993,35.06706745600007,3000 GETWELL ROAD,NOT AVAILABLE,MEMPHIS,TN,38118.0,27.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,223.0,NOT AVAILABLE
MEMPHIS VETERANS AFFAIRS MEDICAL CENTER,-90.02634367899998,35.14352074700003,1030 JEFFERSON AVENUE,NOT AVAILABLE,MEMPHIS,TN,38104.0,27.0,MILITARY,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - FEDERAL,-999.0,280.0,NOT AVAILABLE
SCOTT COUNTY HOSPITAL,-84.51586367299996,36.50442488500005,18797 ALBERTA AVENUE,NOT AVAILABLE,ONEIDA,TN,37841.0,3.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,PIONEER COMMUNITY HOSPITAL OF SCOTT COUNTY,PROPRIETARY,-999.0,25.0,NOT AVAILABLE
SYCAMORE SHOALS HOSPITAL,-82.25000167099994,36.34586705600001,1501 WEST ELK AVENUE,NOT AVAILABLE,ELIZABETHTON,TN,37643.0,15.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,121.0,NOT AVAILABLE
RIVERVIEW REGIONAL MEDICAL CENTER,-85.94974536899997,36.264253457000045,158 HOSPITAL DRIVE,NOT AVAILABLE,CARTHAGE,TN,37030.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,35.0,NOT AVAILABLE
STARR REGIONAL MEDICAL CENTER,-84.60735287299997,35.44081499400005,1114 W MADISON AVE,NOT AVAILABLE,ATHENS,TN,37371.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,ATHENS REGIONAL MEDICAL CENTER,PROPRIETARY,-999.0,190.0,III
FORT LOUDOUN MEDICAL CENTER,-84.27018079399994,35.82517216700005,550 FORT LOUDOUN MEDICAL CENTER DR,NOT AVAILABLE,LENOIR CITY,TN,37772.0,19.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,50.0,NOT AVAILABLE
TRISTAR SOUTHERN HILLS MEDICAL CENTER,-86.72189213099995,36.07638237400004,391 WALLACE ROAD,NOT AVAILABLE,NASHVILLE,TN,37211.0,24.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,126.0,NOT AVAILABLE
METROPOLITAN NASHVILLE GENERAL HOSPITAL,-86.80656111999998,36.16690696900002,1818 ALBION STREET,NOT AVAILABLE,NASHVILLE,TN,37208.0,20.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,150.0,NOT AVAILABLE
TRISTAR SKYLINE MEDICAL CENTER,-86.74961898399994,36.24534093000004,3441 DICKERSON PIKE,NOT AVAILABLE,NASHVILLE,TN,37207.0,22.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,213.0,NOT AVAILABLE
SAINT THOMAS WEST HOSPITAL,-86.84451645899998,36.129401966000046,4220 HARDING ROAD,NOT AVAILABLE,NASHVILLE,TN,37205.0,20.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,541.0,NOT AVAILABLE
KINDRED HOSPITAL - NASHVILLE,-86.84612428,36.17746806800004,1412 COUNTY HOSPITAL ROAD,B-1,NASHVILLE,TN,37218.0,20.0,LONG TERM CARE,OPEN,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",NOT AVAILABLE,PROPRIETARY,-999.0,60.0,NOT AVAILABLE
TRISTAR SKYLINE MADISON CAMPUS,-86.68210462299999,36.25436109800005,500 HOSPITAL DRIVE,NOT AVAILABLE,MADISON,TN,37115.0,24.0,PSYCHIATRIC,OPEN,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",TENNESSEE CHRISTIAN MEDICAL CENTER,PROPRIETARY,-999.0,172.0,NOT AVAILABLE
SELECT SPECIALTY HOSPITAL - NASHVILLE,-86.80116325699998,36.15276545900007,2000 HAYES STREET,SUITE 500,NASHVILLE,TN,37203.0,20.0,LONG TERM CARE,OPEN,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",NOT AVAILABLE,PROPRIETARY,-999.0,70.0,NOT AVAILABLE
TRISTAR CENTENNIAL MEDICAL CENTER,-86.80900486399997,36.15375182000001,2300 PATTERSON STREET,NOT AVAILABLE,NASHVILLE,TN,37203.0,20.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,CENTENNIAL MEDICAL CENTER,PROPRIETARY,-999.0,657.0,NOT AVAILABLE
THE WOMEN'S HOSPITAL AT CENTENNIAL,-86.80683145399998,36.153664910000025,2221 MURPHY AVENUE,NOT AVAILABLE,NASHVILLE,TN,37203.0,20.0,WOMEN,OPEN,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",CENTENNIAL WOMEN'S AND CHILDREN'S HOSPITAL,PROPRIETARY,-999.0,-999.0,NOT AVAILABLE
SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY,-86.80325564199997,36.155085561000064,2011 MURPHY AVENUE,NOT AVAILABLE,NASHVILLE,TN,37203.0,20.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,BAPTIST NORTH TOWER SURGICAL HOSPITAL,NON-PROFIT,-999.0,23.0,NOT AVAILABLE
VANDERBILT UNIVERSITY HOSPITAL,-86.80216669899994,36.14083600800007,1211 MEDICAL CENTER DRIVE,NOT AVAILABLE,NASHVILLE,TN,37232.0,20.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,1025.0,I
CUMBERLAND MEDICAL CENTER,-85.02203136199995,35.943325002000044,421 SOUTH MAIN STREET,NOT AVAILABLE,CROSSVILLE,TN,38555.0,1.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,189.0,NOT AVAILABLE
DECATUR COUNTY GENERAL HOSPITAL,-88.12224489199998,35.63595070100007,969 TENNESSEE AVENUE SOUTH,NOT AVAILABLE,PARSONS,TN,38363.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,40.0,NOT AVAILABLE
LAKEWAY REGIONAL HOSPITAL,-83.30379891199999,36.21473335600006,726 MCFARLAND STREET,NOT AVAILABLE,MORRISTOWN,TN,37814.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,135.0,NOT AVAILABLE
MORRISTOWN-HAMBLEN HEALTHCARE SYSTEM,-83.30531637499998,36.21296569600001,908 WEST FOURTH NORTH STREET,NOT AVAILABLE,MORRISTOWN,TN,37814.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,143.0,NOT AVAILABLE
ERLANGER MEDICAL CENTER,-85.29004744799995,35.04889412500006,975 EAST THIRD STREET,NOT AVAILABLE,CHATTANOOGA,TN,37403.0,16.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,BARONESS HOSPITAL,GOVERNMENT - DISTRICT/AUTHORITY,-999.0,560.0,I
ERLANGER EAST CAMPUS,-85.16062410899997,35.02255862000004,1755 GUNBARREL ROAD,NOT AVAILABLE,CHATTANOOGA,TN,37421.0,17.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999.0,28.0,NOT AVAILABLE
METROPOLITAN HOSPITAL,-85.30359400499998,35.047205260000055,511 MCCALLIE AVENUE,NOT AVAILABLE,CHATTANOOGA,TN,37402.0,15.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,64.0,NOT AVAILABLE
MEMORIAL HOSPITAL HIXSON,-85.23808028399995,35.12468547600001,2051 HAMILL ROAD,NOT AVAILABLE,HIXSON,TN,37343.0,17.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,83.0,NOT AVAILABLE
PARKRIDGE MEDICAL CENTER,-85.267482278,35.034929491000064,2333 MCCALLIE AVENUE,NOT AVAILABLE,CHATTANOOGA,TN,37404.0,18.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,275.0,NOT AVAILABLE
PARKRIDGE EAST HOSPITAL,-85.21894236299994,34.99880291600004,941 SPRING CREEK ROAD,NOT AVAILABLE,CHATTANOOGA,TN,37412.0,18.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,128.0,NOT AVAILABLE
PARKRIDGE VALLEY HOSPITAL,-85.12145582699995,35.02685923300003,2200 MORRIS HILL ROAD,NOT AVAILABLE,CHATTANOOGA,TN,37421.0,17.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,100.0,NOT AVAILABLE
SISKIN HOSPITAL FOR PHYSICAL REHABILITATION,-85.291596912,35.05036360800005,ONE SISKIN PLAZA,NOT AVAILABLE,CHATTANOOGA,TN,37403.0,15.0,REHABILITATION,OPEN,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",NOT AVAILABLE,NON-PROFIT,-999.0,80.0,NOT AVAILABLE
KINDRED HOSPITAL - CHATTANOOGA,-85.30770621699997,35.04757814200008,709 WALNUT STREET,NOT AVAILABLE,CHATTANOOGA,TN,37402.0,15.0,LONG TERM CARE,OPEN,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",NOT AVAILABLE,PROPRIETARY,-999.0,49.0,NOT AVAILABLE
MEMORIAL HEALTH CARE SYSTEM,-85.26002662199994,35.04157461400007,2525 DESALES AVENUE,NOT AVAILABLE,CHATTANOOGA,TN,37404.0,18.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,336.0,NOT AVAILABLE
ERLANGER NORTH CAMPUS,-85.30202706499998,35.12357849800004,632 MORRISON SPRINGS ROAD,NOT AVAILABLE,CHATTANOOGA,TN,37415.0,17.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999.0,67.0,NOT AVAILABLE
WELLMONT HANCOCK COUNTY HOSPITAL,-83.21510814099996,36.53333298200004,1517 MAIN STREET,NOT AVAILABLE,SNEEDVILLE,TN,37869.0,6.0,CRITICAL ACCESS,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,10.0,NOT AVAILABLE
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCEBURG,-87.33830333199995,35.22195459500005,"1607 S LOCUST AVE,",NOT AVAILABLE,LAWRENCEBURG,TN,38464.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,CROCKETT HOSPITAL,PROPRIETARY,-999.0,90.0,NOT AVAILABLE
UNITED REGIONAL MEDICAL CENTER,-86.08407033799993,35.469006385000064,1001 MCARTHUR ST,NOT AVAILABLE,MANCHESTER,TN,37355.0,7.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,36.0,NOT AVAILABLE
UNITY MEDICAL CENTER,-86.07840121599995,35.49687996500005,481 INTERSTATE DRIVE,NOT AVAILABLE,MANCHESTER,TN,37355.0,8.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,MEDICAL CENTER OF MANCHESTER,PROPRIETARY,-999.0,49.0,NOT AVAILABLE
METHODIST HEALTHCARE - FAYETTE HOSPITAL,-89.36379662999997,35.24683128100002,214 LAKEVIEW DRIVE,NOT AVAILABLE,SOMERVILLE,TN,38068.0,3.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,10.0,NOT AVAILABLE
TENNOVA HEALTHCARE - DYERSBURG REGIONAL,-89.37991441499996,36.048185578000066,400 TICKLE ST,NOT AVAILABLE,DYERSBURG,TN,38024.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,DYERSBURG REGIONAL MEDICAL CENTER,PROPRIETARY,-999.0,225.0,NOT AVAILABLE
TRISTAR HORIZON MEDICAL CENTER,-87.37572716099997,36.07330616600007,111 HIGHWAY 70 EAST,NOT AVAILABLE,DICKSON,TN,37055.0,4.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,157.0,NOT AVAILABLE
SAINT THOMAS DEKALB HOSPITAL,-85.82954345399997,35.96150828900005,520 WEST MAIN STREET,NOT AVAILABLE,SMITHVILLE,TN,37166.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,DEKALB HOSPITAL,NON-PROFIT,-999.0,71.0,NOT AVAILABLE
TENNOVA HEALTHCARE - JAMESTOWN,-84.94317595299998,36.43236192600005,436 CENTRAL AVENUE WEST,NOT AVAILABLE,JAMESTOWN,TN,38556.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,JAMESTOWN REGIONAL MEDICAL CENTER,PROPRIETARY,-999.0,85.0,NOT AVAILABLE
BAPTIST MEMORIAL HOSPITAL TIPTON,-89.67760668899997,35.535710159000075,1995 HIGHWAY 51 S,NOT AVAILABLE,COVINGTON,TN,38019.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,100.0,NOT AVAILABLE
TRISTAR PORTLAND MEDICAL PARK,-86.51161996099995,36.55729151200006,105 RED BUD DR,NOT AVAILABLE,PORTLAND,TN,37148.0,7.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,TENNESSEE CHRISTIAN MEDICAL CENTER PORTLAND,NON-PROFIT,-999.0,148.0,NOT AVAILABLE
SUMNER REGIONAL MEDICAL CENTER,-86.43409582499999,36.390014088000044,555 HARTSVILLE PIKE,NOT AVAILABLE,GALLATIN,TN,37066.0,10.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,145.0,NOT AVAILABLE
TRISTAR HENDERSONVILLE MEDICAL CENTER,-86.62223382999996,36.32481862000003,355 NEW SHACKLE ISLAND ROAD,NOT AVAILABLE,HENDERSONVILLE,TN,37075.0,22.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,148.0,NOT AVAILABLE
WELLMONT BRISTOL REGIONAL MEDICAL CENTER,-82.25692326499995,36.58551644600002,1 MEDICAL PARK BOULEVARD,NOT AVAILABLE,BRISTOL,TN,37620.0,17.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,348.0,II
HEALTHSOUTH REHABILITATION HOSPITAL,-82.55137840399995,36.55356420400005,113 CASSEL DRIVE,NOT AVAILABLE,KINGSPORT,TN,37660.0,15.0,REHABILITATION,OPEN,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",NOT AVAILABLE,PROPRIETARY,-999.0,50.0,NOT AVAILABLE
WELLMONT-HOLSTON VALLEY MEDICAL CENTER,-82.554607246,36.55410317300004,130 WEST RAVINE ROAD,NOT AVAILABLE,KINGSPORT,TN,37660.0,15.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,505.0,I
INDIAN PATH MEDICAL CENTER,-82.51427614099998,36.55080902600001,2000 BROOKSIDE DRIVE,NOT AVAILABLE,KINGSPORT,TN,37660.0,14.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,239.0,NOT AVAILABLE
PERRY COMMUNITY HOSPITAL,-87.86375526799999,35.59232333200002,2718 SQUIRREL HOLLOW DRIVE,NOT AVAILABLE,LINDEN,TN,37096.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,53.0,NOT AVAILABLE
WELLMONT HAWKINS COUNTY MEMORIAL HOSPITA,-83.01423357399995,36.40021927400005,851 LOCUST STREET,NOT AVAILABLE,ROGERSVILLE,TN,37857.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,50.0,NOT AVAILABLE
HENDERSON COUNTY COMMUNITY HOSPITAL,-88.39866413599998,35.65530192700003,200 WEST CHURCH STREET,NOT AVAILABLE,LEXINGTON,TN,38351.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,45.0,NOT AVAILABLE
TENNOVA HEALTHCARE - VOLUNTEER MARTIN,-88.86849627299993,36.33474837600005,161 MOUNT PELIA ROAD,NOT AVAILABLE,MARTIN,TN,38237.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,VOLUNTEER COMMUNITY HOSPITAL,PROPRIETARY,-999.0,100.0,NOT AVAILABLE
HEALTHSOUTH CANE CREEK REHABILITATION CENTER,-88.86991048699996,36.33255271700005,180 MT. PELIA ROAD,NOT AVAILABLE,MARTIN,TN,38237.0,3.0,REHABILITATION,OPEN,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",NOT AVAILABLE,PROPRIETARY,-999.0,40.0,NOT AVAILABLE
WAYNE MEDICAL CENTER,-87.75688432599995,35.32475292600004,103 J V MANGUBAT DR,NOT AVAILABLE,WAYNESBORO,TN,38485.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,78.0,NOT AVAILABLE
WILLIAMSON MEDICAL CENTER,-86.81925004299994,35.916162255000046,4321 CAROTHERS PARKWAY,NOT AVAILABLE,FRANKLIN,TN,37067.0,21.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,185.0,NOT AVAILABLE
"SAINT THOMAS HIGHLANDS HOSPITAL, LLC",-85.47723714699997,35.949161291000046,401 SEWELL ROAD,NOT AVAILABLE,SPARTA,TN,38583.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,HIGHLANDS MEDICAL CENTER,NON-PROFIT,-999.0,60.0,NOT AVAILABLE
TENNOVA HEALTHCARE - LEBANON,-86.32762031899993,36.22160565000008,1411 BADDOUR PARKWAY,NOT AVAILABLE,LEBANON,TN,37087.0,11.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,UNIVERSITY MEDICAL CENTER,PROPRIETARY,-999.0,245.0,NOT AVAILABLE
TENNOVA HEALTHCARE - LEBANON MCFARLAND CAMPUS,-86.28313466699996,36.203294193000026,500 PARK AVENUE,NOT AVAILABLE,LEBANON,TN,37087.0,11.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,UNIVERSITY MEDICAL CENTER MCFARLAND CAMPUS,PROPRIETARY,-999.0,-999.0,NOT AVAILABLE
ROANE MEDICAL CENTER,-84.551726413,35.93496509100003,412 DEVONIA STREET,NOT AVAILABLE,HARRIMAN,TN,37748.0,6.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,36.0,NOT AVAILABLE
