NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTRY,LATITUDE,LONGITUDE,,,,,,,,,,,,,,,,,,
FRIO REGIONAL HOSPITAL,200 IH 35 SOUTH,PEARSALL,TX,78061,GENERAL ACUTE CARE,OPEN,USA,28.89630465,-99.1172572,,,,,,,,,,,,,,,,,,
PRESENCE RESURRECTION MEDICAL CENTER,7435 WEST TALCOTT AVENUE,CHICAGO,IL,60631,GENERAL ACUTE CARE,OPEN,USA,41.9875392,-87.81356554,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO,4700 ALLIANCE BOULEVARD,PLANO,TX,75093,GENERAL ACUTE CARE,OPEN,USA,33.0132922,-96.79036603,,,,,,,,,,,,,,,,,,
TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLANO,6020 WEST PARKER ROAD,PLANO,TX,75093,GENERAL ACUTE CARE,OPEN,USA,33.04407056,-96.83176815,,,,,,,,,,,,,,,,,,
THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BOULEVARD,PORT ARTHUR,TX,77640,GENERAL ACUTE CARE,OPEN,USA,29.93550203,-93.98953453,,,,,,,,,,,,,,,,,,
RANKIN COUNTY HOSPITAL DISTRICT,1105 N ELIZABETH STREET,RANKIN,TX,79778,GENERAL ACUTE CARE,CLOSED,USA,31.22721524,-101.9474632,,,,,,,,,,,,,,,,,,
ST. JOSEPH'S HOSPITAL,12886 TROXLER AVENUE,HIGHLAND,IL,62249,CRITICAL ACCESS,OPEN,USA,38.75458375,-89.66759838,,,,,,,,,,,,,,,,,,
SPRINGFIELD HOSPITAL INC - DBA LINCOLN PRAIRIE BEHAVIORAL HEALTH CENTER,5230 SOUTH SIXTH STREET,SPRINGFIELD,IL,62703,PSYCHIATRIC,OPEN,USA,39.72556196,-89.64077395,,,,,,,,,,,,,,,,,,
TRINITY MEDICAL CENTER - 7TH STREET CAMPUS - DBA TRINITY MOLINE,"500 JOHN DEERE ROAD, 7TH STREET CAMPUS",MOLINE,IL,61265,GENERAL ACUTE CARE,OPEN,USA,41.4683074,-90.53097969,,,,,,,,,,,,,,,,,,
REFUGIO COUNTY MEMORIAL HOSPITAL DISTRICT,107 SWIFT STREET,REFUGIO,TX,78377,GENERAL ACUTE CARE,OPEN,USA,28.30679663,-97.27986117,,,,,,,,,,,,,,,,,,
METHODIST RICHARDSON MEDICAL CENTER,401 WEST CAMPBELL ROAD,RICHARDSON,TX,75080,GENERAL ACUTE CARE,OPEN,USA,32.97431653,-96.72660111,,,,,,,,,,,,,,,,,,
OAKBEND MEDICAL CENTER,1705 JACKSON STREET,RICHMOND,TX,77469,GENERAL ACUTE CARE,OPEN,USA,29.57632884,-95.77093702,,,,,,,,,,,,,,,,,,
STARR COUNTY MEMORIAL HOSPITAL,2573 HOSPITAL COURT,RIO GRANDE CITY,TX,78582,GENERAL ACUTE CARE,OPEN,USA,26.37643211,-98.85835917,,,,,,,,,,,,,,,,,,
WASHINGTON COUNTY HOSPITAL,705 SOUTH GRAND AVENUE,NASHVILLE,IL,62263,CRITICAL ACCESS,OPEN,USA,38.3389425,-89.39127928,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT AND WHITE HOSPITAL - ROUND ROCK,300 UNIVERSITY BOULEVARD,ROUND ROCK,TX,78665,GENERAL ACUTE CARE,OPEN,USA,30.56339584,-97.68478229,,,,,,,,,,,,,,,,,,
SETON MEDICAL CENTER WILLIAMSON,201 SETON PARKWAY,ROUND ROCK,TX,78665,GENERAL ACUTE CARE,OPEN,USA,30.56676232,-97.65138735,,,,,,,,,,,,,,,,,,
GOOD SAMARITAN REGIONAL HEALTH CENTER,1 GOOD SAMARITAN WAY,MT. VERNON,IL,62864,GENERAL ACUTE CARE,OPEN,USA,38.2974177,-88.93858039,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,6800 SCENIC DRIVE,ROWLETT,TX,75088,GENERAL ACUTE CARE,OPEN,USA,32.91801933,-96.50871907,,,,,,,,,,,,,,,,,,
SHANNON WEST TEXAS MEMORIAL HOSPITAL,120 EAST HARRIS AVENUE,SAN ANGELO,TX,76902,GENERAL ACUTE CARE,OPEN,USA,31.46524784,-100.4348932,,,,,,,,,,,,,,,,,,
MENDOTA COMMUNITY HOSPITAL,1401 EAST 12TH STREET,MENDOTA,IL,61342,CRITICAL ACCESS,OPEN,USA,41.55305291,-89.08780775,,,,,,,,,,,,,,,,,,
VALLEY WEST COMMUNITY HOSPITAL,1302 NORTH MAIN STREET,SANDWICH,IL,60548,CRITICAL ACCESS,OPEN,USA,41.65719013,-88.62073482,,,,,,,,,,,,,,,,,,
SAN ANGELO COMMUNITY MEDICAL CENTER,3501 KNICKERBOCKER ROAD,SAN ANGELO,TX,76904,GENERAL ACUTE CARE,OPEN,USA,31.41827654,-100.469814,,,,,,,,,,,,,,,,,,
UNIVERSITY HOSPITAL,4502 MEDICAL DRIVE,SAN ANTONIO,TX,78229,GENERAL ACUTE CARE,OPEN,USA,29.50700957,-98.57833704,,,,,,,,,,,,,,,,,,
METHODIST HOSPITAL,7700 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,GENERAL ACUTE CARE,OPEN,USA,29.5082133,-98.57247759,,,,,,,,,,,,,,,,,,
SOUTHWEST GENERAL HOSPITAL,7400 BARLITE BOULEVARD,SAN ANTONIO,TX,78224,GENERAL ACUTE CARE,OPEN,USA,29.35353715,-98.54470772,,,,,,,,,,,,,,,,,,
PAM SPECIALTY HOSPITAL OF SAN ANTONIO,7400 BARLITE BOULEVARD,SAN ANTONIO,TX,78224,GENERAL ACUTE CARE,OPEN,USA,29.35335835,-98.54539199,,,,,,,,,,,,,,,,,,
VICTORY MEDICAL CENTER SOUTHCROSS,4243 EAST SOUTHCROSS BOULEVARD,SAN ANTONIO,TX,78222,GENERAL ACUTE CARE,CLOSED,USA,29.37538868,-98.41183963,,,,,,,,,,,,,,,,,,
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,9522 HUEBNER ROAD,SAN ANTONIO,TX,78240,GENERAL ACUTE CARE,OPEN,USA,29.53024011,-98.58975132,,,,,,,,,,,,,,,,,,
METHODIST STONE OAK HOSPITAL,1139 EAST SONTERRA BOULEVARD,SAN ANTONIO,TX,78258,GENERAL ACUTE CARE,OPEN,USA,29.61586221,-98.47443477,,,,,,,,,,,,,,,,,,
METHODIST TEXSAN HOSPITAL,6700 IH 10 WEST,SAN ANTONIO,TX,78201,GENERAL ACUTE CARE,OPEN,USA,29.48986399,-98.54757258,,,,,,,,,,,,,,,,,,
CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,511 E HOSPITAL STREET,SAN AUGUSTINE,TX,75972,GENERAL ACUTE CARE,OPEN,USA,31.53261587,-94.10300693,,,,,,,,,,,,,,,,,,
BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,GENERAL ACUTE CARE,OPEN,USA,37.34059784,-87.49334945,,,,,,,,,,,,,,,,,,
BAPTIST HEALTH RICHMOND,801 EASTERN BYPASS,RICHMOND,KY,40475,GENERAL ACUTE CARE,OPEN,USA,37.73092301,-84.29236928,,,,,,,,,,,,,,,,,,
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,9901 MEDICAL CENTER DRIVE,ROCKVILLE,MD,20850,GENERAL ACUTE CARE,OPEN,USA,39.09784414,-77.19790423,,,,,,,,,,,,,,,,,,
CENTRAL TEXAS MEDICAL CENTER,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,GENERAL ACUTE CARE,OPEN,USA,29.85248199,-97.94590394,,,,,,,,,,,,,,,,,,
GUADALUPE REGIONAL MEDICAL CENTER,1215 EAST COURT STREET,SEGUIN,TX,78155,GENERAL ACUTE CARE,OPEN,USA,29.56784512,-97.94723703,,,,,,,,,,,,,,,,,,
SEYMOUR HOSPITAL,200 STADIUM DRIVE,SEYMOUR,TX,76380,GENERAL ACUTE CARE,OPEN,USA,33.59017066,-99.24869746,,,,,,,,,,,,,,,,,,
WILSON N JONES REGIONAL MEDICAL CENTER,500 NORTH HIGHLAND AVENUE,SHERMAN,TX,75092,GENERAL ACUTE CARE,OPEN,USA,33.63709739,-96.62382165,,,,,,,,,,,,,,,,,,
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,1545 SOUTHLAKE BOULEVARD,SOUTHLAKE,TX,76092,GENERAL ACUTE CARE,OPEN,USA,32.93951348,-97.12813997,,,,,,,,,,,,,,,,,,
EMERUS HOSPITAL,16000 SOUTHWEST FREEWAY,SUGAR LAND,TX,77479,GENERAL ACUTE CARE,OPEN,USA,29.59811706,-95.62434849,,,,,,,,,,,,,,,,,,
COGDELL MEMORIAL HOSPITAL,1700 COGDELL BOULEVARD,SNYDER,TX,79549,GENERAL ACUTE CARE,OPEN,USA,32.68793228,-100.9170925,,,,,,,,,,,,,,,,,,
MEMORIAL HERMANN SUGAR LAND,17500 WEST GRAND PARKWAY SOUTH,SUGAR LAND,TX,77479,GENERAL ACUTE CARE,OPEN,USA,29.5644022,-95.69037269,,,,,,,,,,,,,,,,,,
SETON SMITHVILLE REGIONAL HOSPITAL,1201 HILL ROAD,SMITHVILLE,TX,78957,GENERAL ACUTE CARE,OPEN,USA,30.00390076,-97.13604043,,,,,,,,,,,,,,,,,,
STAMFORD MEMORIAL HOSPITAL,1601 COLUMBIA STREET,STAMFORD,TX,79553,GENERAL ACUTE CARE,OPEN,USA,32.92784581,-99.78329501,,,,,,,,,,,,,,,,,,
ADVENTIST REHABILITATION HOSPITAL OF MARYLAND,9909 MEDICAL CENTER DRIVE,ROCKVILLE,MD,20850,REHABILITATION,OPEN,USA,39.09859372,-77.20067721,,,,,,,,,,,,,,,,,,
HOLY CROSS GERMANTOWN HOSPITAL,19801 OBSERVATION DRIVE,GERMANTOWN,MD,20876,GENERAL ACUTE CARE,OPEN,USA,39.18068016,-77.24225721,,,,,,,,,,,,,,,,,,
ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,7600 CARROLL AVENUE,TAKOMA PARK,MD,20912,GENERAL ACUTE CARE,OPEN,USA,38.98562631,-77.00182257,,,,,,,,,,,,,,,,,,
HOUSTON METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FREEWAY,SUGAR LAND,TX,77479,GENERAL ACUTE CARE,OPEN,USA,29.58958616,-95.6301656,,,,,,,,,,,,,,,,,,
MARTIN COUNTY HOSPITAL DISTRICT,610 N SAINT PETER STREET,STANTON,TX,79782,GENERAL ACUTE CARE,CLOSED,USA,32.13398778,-101.7913387,,,,,,,,,,,,,,,,,,
TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILLE,411 NORTH BELKNAP STREET,STEPHENVILLE,TX,76401,GENERAL ACUTE CARE,OPEN,USA,32.22296388,-98.20439992,,,,,,,,,,,,,,,,,,
HOSPITAL FOR SURGICAL EXCELLENCE OF OAKBEND MEDICAL CENTER,1211 HIGHWAY 6 SOUTH,SUGAR LAND,TX,77478,GENERAL ACUTE CARE,OPEN,USA,29.60525569,-95.63617526,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - SUNNYVALE,231 SOUTH COLLINS ROAD,SUNNYVALE,TX,75182,GENERAL ACUTE CARE,OPEN,USA,32.77911727,-96.56881181,,,,,,,,,,,,,,,,,,
SCOTT & WHITE MEDICAL CENTER TEMPLE,2401 SOUTH 31ST STREET,TEMPLE,TX,76508,GENERAL ACUTE CARE,OPEN,USA,31.07744745,-97.36344799,,,,,,,,,,,,,,,,,,
MAINLAND MEDICAL CENTER,6801 EMMETT F. LOWRY EXPRESSWAY,TEXAS CITY,TX,77591,GENERAL ACUTE CARE,OPEN,USA,29.39408738,-94.98604898,,,,,,,,,,,,,,,,,,
WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TEXARKANA,TX,75501,GENERAL ACUTE CARE,OPEN,USA,33.42891417,-94.04762712,,,,,,,,,,,,,,,,,,
MEMORIAL HERMANN THE WOODLANDS HOSPITAL,9250 PINECROFT DRIVE,THE WOODLANDS,TX,77380,GENERAL ACUTE CARE,OPEN,USA,30.17433545,-95.454342,,,,,,,,,,,,,,,,,,
ST. LUKE'S THE WOODLANDS HOSPITAL,17200 ST LUKES WAY,THE WOODLANDS,TX,77384,GENERAL ACUTE CARE,OPEN,USA,30.20570177,-95.45813315,,,,,,,,,,,,,,,,,,
ST. LUKE'S LAKESIDE HOSPITAL,17400 ST LUKE'S WAY,THE WOODLANDS,TX,77384,GENERAL ACUTE CARE,OPEN,USA,30.20329534,-95.45738652,,,,,,,,,,,,,,,,,,
CHI HEALTH SCHUYLER,104 WEST 17TH ST,SCHUYLER,NE,68661,CRITICAL ACCESS,OPEN,USA,41.45576915,-97.060697,,,,,,,,,,,,,,,,,,
BELLEVUE MEDICAL CENTER DBA NEBRASKA MEDICINE - B,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,GENERAL ACUTE CARE,OPEN,USA,41.1374108,-95.94789084,,,,,,,,,,,,,,,,,,
TOMBALL REGIONAL HOSPITAL,605 HOLDERRIETH BOULEVARD,TOMBALL,TX,77375,GENERAL ACUTE CARE,OPEN,USA,30.08730408,-95.62369558,,,,,,,,,,,,,,,,,,
ST. LUKES SUGAR LAND HOSPITAL,1317 LAKE POINTE PARKWAY,SUGAR LAND,TX,77478,GENERAL ACUTE CARE,OPEN,USA,29.60445437,-95.62032464,,,,,,,,,,,,,,,,,,
MARY HITCHCOCK MEMORIAL HOSPITAL,ONE MEDICAL CENTER DR,LEBANON,NH,3766,GENERAL ACUTE CARE,OPEN,USA,43.67619155,-72.27333464,,,,,,,,,,,,,,,,,,
CHRISTUS ST. MICHAEL HEALTH SYSTEM,2600 SAINT MICHAEL DRIVE,TEXARKANA,TX,75504,GENERAL ACUTE CARE,OPEN,USA,33.46417889,-94.0754934,,,,,,,,,,,,,,,,,,
EAST TEXAS MEDICAL CENTER TRINITY,317 PROSPECT DRIVE,TRINITY,TX,75862,GENERAL ACUTE CARE,OPEN,USA,30.95686367,-95.38104923,,,,,,,,,,,,,,,,,,
CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,800 EAST DAWSON,TYLER,TX,75701,GENERAL ACUTE CARE,OPEN,USA,32.34276945,-95.29164026,,,,,,,,,,,,,,,,,,
BAYLOR MEDICAL CENTER AT TROPHY CLUB,2850 SOUTH HIGHWAY 114 E,TROPHY CLUB,TX,76262,GENERAL ACUTE CARE,OPEN,USA,32.98851186,-97.17489987,,,,,,,,,,,,,,,,,,
EAST TEXAS MEDICAL CENTER,1000 SOUTH BECKHAM AVENUE,TYLER,TX,75711,GENERAL ACUTE CARE,OPEN,USA,32.33847952,-95.2907682,,,,,,,,,,,,,,,,,,
UVALDE MEMORIAL HOSPITAL,1025 GARNER FIELD ROAD,UVALDE,TX,78801,GENERAL ACUTE CARE,OPEN,USA,29.21411967,-99.76783721,,,,,,,,,,,,,,,,,,
WILBARGER GENERAL HOSPITAL,920 HILLCREST DRIVE,VERNON,TX,76384,GENERAL ACUTE CARE,OPEN,USA,34.15861525,-99.31516051,,,,,,,,,,,,,,,,,,
MEMORIAL HOSPITAL,300 NORTH COLUMBIA AVE,SEWARD,NE,68434,CRITICAL ACCESS,OPEN,USA,40.91002173,-97.0914344,,,,,,,,,,,,,,,,,,
CHI HEALTH PLAINVIEW,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,CRITICAL ACCESS,OPEN,USA,42.35883298,-97.78578075,,,,,,,,,,,,,,,,,,
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,GENERAL ACUTE CARE,OPEN,USA,28.81287726,-96.97773874,,,,,,,,,,,,,,,,,,
DETAR HOSPITAL NAVARRO,506 EAST SAN ANTONIO STREET,VICTORIA,TX,77902,GENERAL ACUTE CARE,OPEN,USA,28.80806986,-96.99834405,,,,,,,,,,,,,,,,,,
PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76702,GENERAL ACUTE CARE,OPEN,USA,31.51425066,-97.19949097,,,,,,,,,,,,,,,,,,
BAYLOR MEDICAL CENTER AT WAXAHACHIE,1405 WEST JEFFERSON STREET,WAXAHACHIE,TX,75165,GENERAL ACUTE CARE,CLOSED,USA,32.39634203,-96.86539388,,,,,,,,,,,,,,,,,,
CLEAR LAKE REGIONAL MEDICAL CENTER,500 MEDICAL CENTER BOULEVARD,WEBSTER,TX,77598,GENERAL ACUTE CARE,OPEN,USA,29.54130675,-95.12781514,,,,,,,,,,,,,,,,,,
WEATHERFORD REGIONAL MEDICAL CENTER,713 EAST ANDERSON STREET,WEATHERFORD,TX,76086,GENERAL ACUTE CARE,OPEN,USA,32.74811822,-97.78581052,,,,,,,,,,,,,,,,,,
HOUSTON PHYSICIANS' HOSPITAL,333 NORTH TEXAS AVENUE,WEBSTER,TX,77598,GENERAL ACUTE CARE,OPEN,USA,29.53384927,-95.12619308,,,,,,,,,,,,,,,,,,
KNAPP MEDICAL CENTER,1401 EAST 8TH STREET,WESLACO,TX,78599,GENERAL ACUTE CARE,OPEN,USA,26.1532284,-97.97761937,,,,,,,,,,,,,,,,,,
GULF COAST MEDICAL CENTER,10141 US 59 ROAD,WHARTON,TX,77488,GENERAL ACUTE CARE,OPEN,USA,29.32856983,-96.11750464,,,,,,,,,,,,,,,,,,
PARKVIEW HOSPITAL,901 SOUTH SWEETWATER STREET,WHEELER,TX,79096,GENERAL ACUTE CARE,OPEN,USA,35.43933961,-100.2703597,,,,,,,,,,,,,,,,,,
LAKE WHITNEY MEDICAL CENTER,200 NORTH SAN JACINTO STREET,WHITNEY,TX,76692,GENERAL ACUTE CARE,CLOSED,USA,31.95080671,-97.31981573,,,,,,,,,,,,,,,,,,
KELL WEST REGIONAL HOSPITAL,5420 KELL BOULEVARD WEST,WICHITA FALLS,TX,76310,GENERAL ACUTE CARE,OPEN,USA,33.87282117,-98.58030421,,,,,,,,,,,,,,,,,,
NORTH RUNNELS HOSPITAL,7821 TEXAS 153,WINTERS,TX,79567,GENERAL ACUTE CARE,OPEN,USA,31.94922151,-99.95913544,,,,,,,,,,,,,,,,,,
TYLER COUNTY HOSPITAL,1100 WEST BLUFF STREET,WOODVILLE,TX,75979,GENERAL ACUTE CARE,OPEN,USA,30.77603582,-94.42763632,,,,,,,,,,,,,,,,,,
TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,8200 WALNUT HILL LANE,DALLAS,TX,75231,GENERAL ACUTE CARE,OPEN,USA,32.88113418,-96.76243766,,,,,,,,,,,,,,,,,,
MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,DALLAS,TX,75230,GENERAL ACUTE CARE,OPEN,USA,32.91193288,-96.77407387,,,,,,,,,,,,,,,,,,
METHODIST CHARLTON MEDICAL CENTER,3500 WEST WHEATLAND ROAD,DALLAS,TX,75237,GENERAL ACUTE CARE,OPEN,USA,32.64576186,-96.87684862,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - WHITE ROCK,9440 POPPY DRIVE,DALLAS,TX,75218,GENERAL ACUTE CARE,OPEN,USA,32.83478291,-96.70493202,,,,,,,,,,,,,,,,,,
BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE,DALLAS,TX,75204,GENERAL ACUTE CARE,OPEN,USA,32.80424638,-96.79495495,,,,,,,,,,,,,,,,,,
METHODIST DALLAS MEDICAL CENTER,1441 N. BECKLEY AVENUE,DALLAS,TX,75265,GENERAL ACUTE CARE,OPEN,USA,32.76037381,-96.82602355,,,,,,,,,,,,,,,,,,
DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,75381,GENERAL ACUTE CARE,OPEN,USA,32.91526053,-96.86979587,,,,,,,,,,,,,,,,,,
LIFECARE HOSPITALS OF SOUTH TEXAS - MCALLEN SOUTH,2001 SOUTH M STREET,MCALLEN,TX,78503,GENERAL ACUTE CARE,OPEN,USA,26.18198646,-98.20849156,,,,,,,,,,,,,,,,,,
APOLLO HOSPITAL,9201 PINECROFT,THE WOODLANDS,TX,77380,GENERAL ACUTE CARE,OPEN,USA,30.17493529,-95.45717139,,,,,,,,,,,,,,,,,,
ARISE AUSTIN MEDICAL CENTER,3003 BEE CAVES ROAD,AUSTIN,TX,78746,GENERAL ACUTE CARE,OPEN,USA,30.27075965,-97.79596702,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 WEST UNIVERSITY DRIVE,MCKINNEY,TX,75071,GENERAL ACUTE CARE,OPEN,USA,33.22097161,-96.68260102,,,,,,,,,,,,,,,,,,
EFFICACY HEALTH SERVICES LLC,8850 LONG POINT ROAD,HOUSTON,TX,77055,GENERAL ACUTE CARE,CLOSED,USA,29.80399811,-95.50873347,,,,,,,,,,,,,,,,,,
CHRISTUS SPOHN HOSPITAL ALICE,2500 EAST MAIN,ALICE,TX,78332,GENERAL ACUTE CARE,OPEN,USA,27.76401647,-98.04172626,,,,,,,,,,,,,,,,,,
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FREEWAY,HOUSTON,TX,77094,GENERAL ACUTE CARE,OPEN,USA,29.78715662,-95.69782808,,,,,,,,,,,,,,,,,,
ALTUS LUMBERTON LP,137 NORTH LHS DRIVE,LUMBERTON,TX,77657,GENERAL ACUTE CARE,CLOSED,USA,30.26188935,-94.22092692,,,,,,,,,,,,,,,,,,
CRESCENT MEDICAL CENTER LANCASTER,2600 WEST PLEASANT RUN ROAD,LANCASTER,TX,75146,GENERAL ACUTE CARE,OPEN,USA,32.60292166,-96.81241605,,,,,,,,,,,,,,,,,,
UNM CHILDREN'S PSYCHIATRIC CENTER,1001 YALE BLVD NE,ALBUQUERQUE,NM,87106,CHILDREN,OPEN,USA,35.09271048,-106.6215342,,,,,,,,,,,,,,,,,,
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAELS DRIVE,SANTA FE,NM,87505,GENERAL ACUTE CARE,OPEN,USA,35.65944099,-105.9457805,,,,,,,,,,,,,,,,,,
MEDICAL CITY FRISCO,5500 FRISCO SQUARE BOULEVARD,FRISCO,TX,75034,GENERAL ACUTE CARE,OPEN,USA,33.1510055,-96.83898502,,,,,,,,,,,,,,,,,,
HEREFORD REGIONAL MEDICAL CENTER,540 WEST 15TH STREET,HEREFORD,TX,79045,GENERAL ACUTE CARE,OPEN,USA,34.83951878,-102.4139875,,,,,,,,,,,,,,,,,,
HOUSTON METHODIST HOSPTIAL,6565 FANNIN STREET,HOUSTON,TX,77030,GENERAL ACUTE CARE,OPEN,USA,29.71052314,-95.39893888,,,,,,,,,,,,,,,,,,
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 TOMBALL PARKWAY,HOUSTON,TX,77070,GENERAL ACUTE CARE,OPEN,USA,29.96646877,-95.55114453,,,,,,,,,,,,,,,,,,
PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI SOUTH,6226 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,78414,GENERAL ACUTE CARE,OPEN,USA,27.67977415,-97.37023765,,,,,,,,,,,,,,,,,,
PRISTINE HOSPITAL OF PASADENA,1004 SEYMOUR STREET,PASADENA,TX,77506,GENERAL ACUTE CARE,CLOSED,USA,29.70265448,-95.20031123,,,,,,,,,,,,,,,,,,
NEW LIFE HOSPITAL,17400 RED OAK DRIVE,HOUSTON,TX,77090,GENERAL ACUTE CARE,OPEN,USA,30.02458106,-95.44853039,,,,,,,,,,,,,,,,,,
RENAISSANCE HOSPITAL TERRELL,1551 HIGHWAY 34 SOUTH,TERRELL,TX,75160,GENERAL ACUTE CARE,CLOSED,USA,32.71061357,-96.27915304,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL AT CEDAR PARK,900 EAST WHITESTONE BOULEVARD,CEDAR PARK,TX,78613,GENERAL ACUTE CARE,OPEN,USA,30.5233139,-97.81984631,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY,100 MEDICAL PARKWAY,AUSTIN,TX,78738,GENERAL ACUTE CARE,OPEN,USA,30.33294103,-97.97152991,,,,,,,,,,,,,,,,,,
BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION,700 SCOTT & WHITE DRIVE,COLLEGE STATION,TX,77845,GENERAL ACUTE CARE,OPEN,USA,30.5823184,-96.27939535,,,,,,,,,,,,,,,,,,
TEXAS GENERAL HOSPITAL,2709 HOSPITAL BOULEVARD,GRAND PRAIRIE,TX,75051,GENERAL ACUTE CARE,OPEN,USA,32.73294147,-97.0493792,,,,,,,,,,,,,,,,,,
SHELBY REGIONAL MEDICAL CENTER,P. O. BOX 1749,CENTER,TX,75935,GENERAL ACUTE CARE,CLOSED,USA,31.79622875,-94.18916218,,,,,,,,,,,,,,,,,,
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,76244,GENERAL ACUTE CARE,OPEN,USA,32.93068061,-97.30991228,,,,,,,,,,,,,,,,,,
SAINT CAMILLUS MEDICAL CENTER,1612 HURST TOWN CENTER DRIVE,HURST,TX,76054,GENERAL ACUTE CARE,OPEN,USA,32.84301691,-97.18803686,,,,,,,,,,,,,,,,,,
PLANO SURGICAL HOSPITAL,2301 MARSH LANE,PLANO,TX,75093,GENERAL ACUTE CARE,OPEN,USA,33.03172907,-96.85401854,,,,,,,,,,,,,,,,,,
THE MEDICAL CENTER OF SOUTHEAST TEXAS VICTORY CAMPUS,6025 METROPOLITAN DRIVE,BEAUMONT,TX,77706,GENERAL ACUTE CARE,OPEN,USA,30.1121411,-94.16975617,,,,,,,,,,,,,,,,,,
WESTSIDE SURGICAL HOSPTIAL,4200 TWELVE OAKS DRIVE,HOUSTON,TX,77027,GENERAL ACUTE CARE,OPEN,USA,29.73086764,-95.44509711,,,,,,,,,,,,,,,,,,
AD HOSPITAL EAST LLC,12950 EAST FREEWAY,HOUSTON,TX,77015,GENERAL ACUTE CARE,OPEN,USA,29.77063353,-95.20029102,,,,,,,,,,,,,,,,,,
SAM RAYBURN MEMORIAL VETERANS CENTER,1201 E 9TH ST,BONHAM,TX,75418,GENERAL ACUTE CARE,OPEN,USA,33.58458954,-96.16663814,,,,,,,,,,,,,,,,,,
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BLVD,CORPUS CHRISTI,TX,78414,GENERAL ACUTE CARE,OPEN,USA,27.68406754,-97.37753257,,,,,,,,,,,,,,,,,,
NORTHEAST METHODIST HOSPITAL,12412 JUDSON RD,LIVE OAK,TX,78233,GENERAL ACUTE CARE,OPEN,USA,29.55246452,-98.34826131,,,,,,,,,,,,,,,,,,
MISSION TRAIL BAPTIST HOSPITAL-ER,3333 RESEARCH PLZ,SAN ANTONIO,TX,78235,GENERAL ACUTE CARE,OPEN,USA,29.34478851,-98.43848672,,,,,,,,,,,,,,,,,,
ST DAVID'S GEORGETOWN HOSPITAL,2000 SCENIC DR,GEORGETOWN,TX,78626,GENERAL ACUTE CARE,OPEN,USA,30.62609475,-97.68871248,,,,,,,,,,,,,,,,,,
NORTH CENTRAL BAPTIST HOSPITAL,520 MADISON OAK DR,SAN ANTONIO,TX,78258,GENERAL ACUTE CARE,OPEN,USA,29.6203791,-98.49142829,,,,,,,,,,,,,,,,,,
